Building,Points
1E,257-258-259-260-261
1W,321-324
1WN,310-
2E,366
3E,247
3W,330-333-334
3WN,352-
4E,364
4W,327-490
5W,561
6E,376-377
6W,496
8W,556-557-558-559-560-561
10W,578-579-542-544-546-575
CB,234-239
EB,434
Edge Theatre,444
Uni Hall,280
WH,340-341-342-
SU,243-262
Chaplaincy,255
Library,320
Fresh,338
8E,368-370-371
10E,369
FH,383
Limetree,386-387
STV,452-453
6WS,489
Lake,497-498
Woodland,21-25-26-36-120-121-122-123-124-127
Quads,130-131-133-290-292-
Esther Parkin,156-157
Solsbury,161-162-163-166-172-176-177-178-187-189-190
Marlborough,170-180-181-195-196-197-198-200-202-204
Parcel,215
Norwood,244
Brendon,587-588-590
Westwood Cotswold,594-595-596-597-598
Westwood Cotswold House,601
Westwood Wolfson,618-622
Westwood Derhill,315-628
Westwood Quantock,613-614-615-616-617
Westwood Conygre,606-607-630
Westwood Mendip,631-636
Westwood Quarry,635-637-638
Polden Court,643-646-647
Polden,650-651-567
Eastwood 1,220
Eastwood 2,104
Eastwood 3,105
Eastwood 4,109
Eastwood 5,96
Eastwood 6,100
Eastwood 7,93
Eastwood 8,92
Eastwood 9,88
Eastwood 10,87
Eastwood 11,82
Eastwood 12,85
Eastwood 13,585
Eastwood 14,586
Eastwood 15,67
Eastwood 16,77
Eastwood 17,73
Eastwood 18,72
Eastwood 19,68
Eastwood 20,63
Eastwood 21,62
Eastwood 22,65
Eastwood 23,60
Eastwood 24,54
Eastwood 25,55
Eastwood 26,51
Eastwood 27,57
Eastwood 28,47
Eastwood 29,48
Eastwood 30,0
Eastwood 31,10
Eastwood 32,154
Eastwood 33,150
Eastwood 34,146
Eastwood 35,147
Eastwood 36,143
Eastwood 37,138
Eastwood 38,671
Eastwood 39,135
Eastwood 40,672
Eastwood 41,140
Eastwood 42,35
Eastwood 43,119
Eastwood 44,30
Eastwood 45,42
Eastwood 46,29
Eastwood 47,24
Eastwood 48,8
Eastwood 49,23
Eastwood 50,14
Eastwood 51,17
Eastwood laundrette,213